Date,Tmax,Tmin,Tavg,Depart,PrecipTotal,Heat
1/1/05,41,25,33,10,0.25,32
1/2/05,54,33,44,21,0.03,21
1/3/05,36,32,34,11,0.16,31
1/4/05,35,30,33,11,0.05,32
1/5/05,31,26,29,7,0.05,36
1/6/05,27,12,20,-2,0.19,45
1/7/05,28,7,18,-4,  T,47
1/8/05,27,24,26,4,  T,39
1/9/05,34,26,30,8,  T,35
1/10/05,35,29,32,10,  T,33
1/11/05,36,33,35,13,0.13,30
1/12/05,62,34,48,26,0.89,17
1/13/05,46,15,31,10,0.54,34
1/14/05,15,4,10,-11,0,55
1/15/05,15,4,10,-11,0,55
1/16/05,14,3,9,-12,0,56
1/17/05,11,2,7,-14,0,58
1/18/05,23,1,12,-9,  T,53
1/19/05,35,23,29,7,0.01,36
1/20/05,28,23,26,4,  T,39
1/21/05,24,17,21,-1,  T,44
1/22/05,23,11,17,-5,  T,48
1/23/05,23,8,16,-6,0.12,49
1/24/05,31,21,26,4,0.11,39
1/25/05,43,23,33,11,0,32
1/26/05,35,17,26,4,0.02,39
1/27/05,21,5,13,-9,  T,52
1/28/05,27,2,15,-7,0.01,50
1/29/05,35,20,28,5,0.03,37
1/30/05,35,25,30,7,0,35
1/31/05,37,19,28,5,0,37
2/1/05,34,22,28,5,0,37
2/2/05,36,16,26,3,0,39
2/3/05,44,15,30,6,0,35
2/4/05,50,22,36,12,0,29
2/5/05,55,36,46,22,0,19
2/6/05,47,39,43,19,0.06,22
2/7/05,45,33,39,14,0.19,26
2/8/05,33,25,29,4,  T,36
2/9/05,31,24,28,3,0.01,37
2/10/05,32,22,27,1,  T,38
2/11/05,42,23,33,7,0.01,32
2/12/05,51,33,42,16,0,23
2/13/05,41,35,38,12,0.54,27
2/14/05,49,37,43,16,0.14,22
2/15/05,42,33,38,11,0.2,27
2/16/05,33,26,30,3,  T,35
2/17/05,27,16,22,-6,  T,43
2/18/05,26,11,19,-9,0,46
2/19/05,41,22,32,4,  T,33
2/20/05,37,31,34,5,0.36,31
2/21/05,36,33,35,6,0,30
2/22/05,36,21,29,0,  T,36
2/23/05,36,20,28,-2,0,37
2/24/05,36,27,32,2,  T,33
2/25/05,41,27,34,4,  T,31
2/26/05,33,25,29,-2,  T,36
2/27/05,40,26,33,2,0.2,32
2/28/05,35,26,31,0,0.32,34
3/1/05,27,19,23,-9,  T,42
3/2/05,27,13,20,-12,0,45
3/3/05,34,14,24,-9,0,41
3/4/05,44,20,32,-1,0.03,33
3/5/05,41,35,38,5,0,27
3/6/05,64,35,50,16,  T,15
3/7/05,57,27,42,8,0.02,23
3/8/05,30,18,24,-10,  T,41
3/9/05,30,18,24,-11,0,41
3/10/05,37,20,29,-6,0.15,36
3/11/05,35,25,30,-6,0.05,35
3/12/05,34,18,26,-10,  T,39
3/13/05,33,13,23,-13,0,42
3/14/05,36,21,29,-8,  T,36
3/15/05,41,21,31,-6,0,34
3/16/05,50,24,37,0,  T,28
3/17/05,35,29,32,-6,0.06,33
3/18/05,44,33,39,1,0.02,26
3/19/05,51,33,42,4,0.09,23
3/20/05,41,27,34,-5,0,31
3/21/05,38,26,32,-7,0,33
3/22/05,42,31,37,-2,0.02,28
3/23/05,40,27,34,-6,0.1,31
3/24/05,50,22,36,-4,0.06,29
3/25/05,39,33,36,-5,0.18,29
3/26/05,44,30,37,-4,  T,28
3/27/05,49,26,38,-3,0,27
3/28/05,60,27,44,2,0,21
3/29/05,71,33,52,10,0,13
3/30/05,77,54,66,24,0.62,0
3/31/05,59,39,49,6,  T,16
4/1/05,56,34,45,2,0.15,20
4/2/05,56,30,43,0,0.03,22
4/3/05,64,31,48,5,0,17
4/4/05,68,36,52,9,0,13
4/5/05,76,47,62,18,0,3
4/6/05,80,45,63,19,0.02,2
4/7/05,54,41,48,3,0.01,17
4/8/05,61,36,49,4,0,16
4/9/05,68,35,52,7,0,13
4/10/05,79,44,62,16,0,3
4/11/05,76,53,65,19,  T,0
4/12/05,54,42,48,2,0.63,17
4/13/05,54,39,47,0,0,18
4/14/05,63,33,M,M,0,M
4/15/05,63,33,48,1,0,17
4/16/05,74,37,56,8,  T,9
4/17/05,76,47,62,14,0.02,3
4/18/05,83,45,64,15,0,1
4/19/05,81,60,71,22,0,0
4/20/05,70,43,57,8,  T,8
4/21/05,57,42,50,0,0,15
4/22/05,46,38,42,-9,0.67,23
4/23/05,42,35,39,-12,  T,26
4/24/05,54,33,44,-7,0,21
4/25/05,67,39,53,1,0.02,12
4/26/05,57,43,50,-2,  T,15
4/27/05,55,40,48,-4,  T,17
4/28/05,57,38,48,-5,  T,17
4/29/05,53,39,46,-7,0,19
4/30/05,58,34,46,-7,0,19
5/1/05,49,35,42,-11,  T,23
5/2/05,44,35,40,-14,  T,25
5/3/05,52,33,43,-11,0,22
5/4/05,62,33,48,-6,0,17
5/5/05,70,38,54,-1,0,11
5/6/05,76,50,63,8,0.03,2
5/7/05,60,45,53,-2,0,12
5/8/05,85,43,64,8,0,1
5/9/05,77,62,70,14,0.15,0
5/10/05,82,60,71,15,0,0
5/11/05,64,43,54,-3,0.3,11
5/12/05,55,42,49,-8,0.07,16
5/13/05,73,49,61,3,  T,4
5/14/05,64,47,56,-2,0.06,9
5/15/05,54,41,48,-10,0,17
5/16/05,60,44,52,-7,0,13
5/17/05,71,49,60,1,  T,5
5/18/05,75,57,66,6,  T,0
5/19/05,72,51,62,2,1.27,3
5/20/05,68,47,58,-3,0,7
5/21/05,73,43,58,-3,  T,7
5/22/05,80,57,69,8,  T,0
5/23/05,70,52,61,0,  T,4
5/24/05,67,47,57,-5,0,8
5/25/05,69,47,58,-4,0,7
5/26/05,75,56,66,4,  T,0
5/27/05,70,48,59,-3,0.1,6
5/28/05,68,48,58,-5,0.01,7
5/29/05,70,43,57,-7,0,8
5/30/05,74,46,60,-4,0,5
5/31/05,72,46,59,-5,0,6
6/1/05,80,50,65,1,0,0
6/2/05,76,56,66,2,0.01,0
6/3/05,73,60,67,3,  T,0
6/4/05,86,57,72,8,0.39,0
6/5/05,87,68,78,13,0.01,0
6/6/05,89,66,78,12,0,0
6/7/05,92,61,77,11,0.02,0
6/8/05,89,66,78,12,0.24,0
6/9/05,89,64,77,11,0,0
6/10/05,88,67,78,11,0.02,0
6/11/05,88,72,80,13,0,0
6/12/05,80,70,75,7,  T,0
6/13/05,89,67,78,10,0.02,0
6/14/05,80,67,74,6,0.01,0
6/15/05,70,58,64,-4,0.02,1
6/16/05,79,53,66,-3,0,0
6/17/05,70,51,61,-8,0,4
6/18/05,71,53,62,-8,0,3
6/19/05,78,52,65,-5,0,0
6/20/05,86,52,69,-1,0,0
6/21/05,89,60,75,5,0,0
6/22/05,85,59,72,2,0,0
6/23/05,93,60,77,7,0,0
6/24/05,96,76,86,15,0,0
6/25/05,91,69,80,9,0,0
6/26/05,93,70,82,11,0,0
6/27/05,95,68,82,11,0,0
6/28/05,94,76,85,14,  T,0
6/29/05,90,73,82,11,0.02,0
6/30/05,91,72,82,10,0.02,0
7/1/05,76,62,69,-3,0,0
7/2/05,75,54,65,-7,0,0
7/3/05,86,54,70,-2,0,0
